id,created_at,color,roll
gM19qe4L1A,2025-08-03 19:00:12,red,4
xmlNmxRWkv,2025-08-03 19:00:43,red,1
7dlEPmzykv,2025-08-03 19:01:13,red,1
QqlPmXKPrz,2025-08-03 19:01:43,white,0
EV1eaJGR1o,2025-08-03 19:02:13,black,13
Nz1xzpbGlp,2025-08-03 19:02:43,red,5
V5k0XyGvkY,2025-08-03 19:03:13,red,6
vRl8RL4M1K,2025-08-03 19:03:43,black,14
3V1qwDQ3lB,2025-08-03 19:04:13,black,12
MerWenvNkX,2025-08-03 19:04:43,black,11
N8r2opNB1b,2025-08-03 19:05:13,red,1
Y8kG738ekZ,2025-08-03 19:05:43,red,5
DV1aeMp91e,2025-08-03 19:06:13,black,9
JblRmPVwkO,2025-08-03 19:06:43,red,5
AKl5ROgvr9,2025-08-03 19:07:13,black,8
O2l46dgG1n,2025-08-03 19:07:43,red,3
8LknaXQ013,2025-08-03 19:08:13,red,1
eRlv8yma1j,2025-08-03 19:08:43,red,1
04lQmXD6ln,2025-08-03 19:09:13,red,3
zokgZJLL1y,2025-08-03 19:09:44,red,2
4J1mX47xrj,2025-08-03 19:10:14,red,5
Jw1DPGjP1E,2025-08-03 19:10:44,red,1
o5rVGPDK1K,2025-08-03 19:11:14,red,3
2O1BX6jAlK,2025-08-03 19:11:44,red,1
4ekjRzDzk9,2025-08-03 19:12:14,red,6
YArwwbmQrz,2025-08-03 19:12:44,red,7
pJ1ovR28rd,2025-08-03 19:13:14,red,1
KV16xKgplB,2025-08-03 19:13:44,red,5
96rX6PvVkO,2025-08-03 19:14:14,black,8
mDlZwN56rj,2025-08-03 19:14:44,red,7
9YrJNGzwrK,2025-08-03 19:15:14,black,14
jxrM7R8XkQ,2025-08-03 19:15:44,red,1
LKl3WY29lN,2025-08-03 19:16:14,black,11
WplzmdAokn,2025-08-03 19:16:44,black,10
yAlAVeaArG,2025-08-03 19:17:14,black,14
3Ery2Y4E1j,2025-08-03 19:17:44,black,11
KRkb4JGRrL,2025-08-03 19:18:15,red,5
GR1pDv0d15,2025-08-03 19:18:45,black,14
3elYeDgKlL,2025-08-03 19:19:15,red,2
OWld4J8el3,2025-08-03 19:19:45,black,10
AXlOXPOZrO,2025-08-03 19:20:15,black,13
M9rKazWPk6,2025-08-03 19:20:45,black,12
WG17a7gPlZ,2025-08-03 19:21:15,black,14
BylLPGo5lG,2025-08-03 19:21:45,black,12
gM19qewL1A,2025-08-03 19:22:15,black,14
xmlNmxDWkv,2025-08-03 19:22:45,black,13
yAlAVeagrG,2025-08-03 19:23:15,red,6
3Ery2Y4G1j,2025-08-03 19:23:45,black,9
KRkb4JG2rL,2025-08-03 19:24:15,red,3
GR1pDv0P15,2025-08-03 19:24:45,red,6
3elYeDgJlL,2025-08-03 19:25:15,black,10
OWld4J8nl3,2025-08-03 19:25:45,red,2
AXlOXPOmrO,2025-08-03 19:26:15,white,0
M9rKazWXk6,2025-08-03 19:26:45,red,4
WG17a7gXlZ,2025-08-03 19:27:16,black,12
BylLPGoWlG,2025-08-03 19:27:46,black,8
gM19qewE1A,2025-08-03 19:28:16,red,2
xmlNmxDvkv,2025-08-03 19:28:46,black,8
7dlEPm3Rkv,2025-08-03 19:29:16,black,8
QqlPmX8erz,2025-08-03 19:29:46,black,8
EV1eaJAg1o,2025-08-03 19:30:16,black,11
Nz1xzp8Olp,2025-08-03 19:30:46,black,14
V5k0XyaGkY,2025-08-03 19:31:16,red,6
vRl8RL8g1K,2025-08-03 19:31:46,red,5
3V1qwDaalB,2025-08-03 19:32:16,black,14
MerWenYekX,2025-08-03 19:32:46,red,1
N8r2opQD1b,2025-08-03 19:33:16,red,5
Y8kG735dkZ,2025-08-03 19:33:46,red,4
DV1aeMQM1e,2025-08-03 19:34:16,red,7
JblRmPWnkO,2025-08-03 19:34:46,black,13
AKl5RODjr9,2025-08-03 19:35:16,red,1
O2l46day1n,2025-08-03 19:35:46,black,12
8LknaXZw13,2025-08-03 19:36:17,white,0
eRlv8yxw1j,2025-08-03 19:36:47,red,4
04lQmXGyln,2025-08-03 19:37:17,black,12
zokgZJbX1y,2025-08-03 19:37:47,red,3
4J1mX4xerj,2025-08-03 19:38:17,black,13
Jw1DPGex1E,2025-08-03 19:38:47,black,11
o5rVGPpy1K,2025-08-03 19:39:17,black,8
2O1BX6N2lK,2025-08-03 19:39:47,red,3
4ekjRzd5k9,2025-08-03 19:40:17,black,12
YArwwboErz,2025-08-03 19:40:47,black,14
pJ1ovR9drd,2025-08-03 19:41:17,red,5
KV16xKJVlB,2025-08-03 19:41:47,red,4
96rX6PdZkO,2025-08-03 19:42:17,red,6
mDlZwNvyrj,2025-08-03 19:42:47,black,13
9YrJNGRYrK,2025-08-03 19:43:17,red,4
jxrM7RGzkQ,2025-08-03 19:43:47,red,6
LKl3WYMplN,2025-08-03 19:44:17,red,5
